id,sent_id,form,lemma,case,deprel,sentence
0,1,Tarton,Tarto,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
1,2,yliopiston,yli#opisto,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
2,3,vuoden,vuosi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
3,4,1803,1803,{'NumType': 'Card'},nummod,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
4,5,peruskirjassa,perus#kirja,"{'Case': 'Ine', 'Number': 'Sing'}",obl,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
5,6,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",aux:pass,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
6,8,paikka,paikka,"{'Case': 'Nom', 'Number': 'Sing'}",obj,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
7,19,.,.,,punct,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
8,7,varattu,varata,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",root,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
9,9,viron,viro,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Tarton yliopiston vuoden 1803 peruskirjassa oli varattu paikka viron ja suomen kielen opettajalle, joka myöhemmin nimettiin lehtoriksi."
