id,sent_id,form,lemma,case,deprel,sentence
0,1,Etymologisesti,ety#mologisesti,{'Derivation': 'Sti'},advmod,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
1,3,herranjestas,herranjestas,,discourse,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
2,10,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
3,11,muunnelma,muunnelma,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
4,12,erisnimestä,erisnimi,"{'Case': 'Ela', 'Number': 'Sing'}",nmod,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
5,19,asusta,asu,"{'Case': 'Ela', 'Number': 'Sing'}",conj,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
6,25,ilmaukset,ilmaus,"{'Case': 'Nom', 'Number': 'Plur'}",conj,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
7,36,.,.,,punct,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
8,2,“,“,,punct,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
9,4,”,”,,punct,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
10,6,päivittelly-,päivittelly,"{'Case': 'Nom', 'Number': 'Sing'}",appos,"Etymologisesti “herranjestas”, päivittelly- ja voimasana, on muunnelma erisnimestä Jeesus sekä sen vanhemmasta lyhytvokaalisesta Jesus asusta, kuten myös päivittelyyn käytetyt ilmaukset jes, jee jee, voi jee) ja sus."
