id,sent_id,form,lemma,case,deprel,sentence
0,1,Kirja,kirja,"{'Case': 'Nom', 'Number': 'Sing'}",obj,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
1,2,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",aux:pass,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
2,4,vuonna,vuosi,"{'Case': 'Ess', 'Number': 'Sing'}",obl,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
3,9,ehdolla,ehto,"{'Case': 'Ade', 'Number': 'Sing'}",conj,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
4,13,.,.,,punct,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
5,3,julkaistu,julkaista,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",root,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
6,5,2021,2021,{'NumType': 'Card'},nummod,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
7,6,ja,ja,,cc,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
8,7,se,se,"{'Case': 'Nom', 'Number': 'Sing', 'PronType': 'Dem'}",nsubj:cop,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
9,8,oli,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
10,12,Findlandia-palkintoon,Findlandia#palkinto,"{'Case': 'Ill', 'Number': 'Sing'}",obl,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
11,10,vuoden,vuosi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
12,11,2021,2021,{'NumType': 'Card'},nummod,Kirja on julkaistu vuonna 2021 ja se oli ehdolla vuoden 2021 Findlandia-palkintoon.
13,1,Kirja,kirja,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
14,4,sotaa,sota,"{'Case': 'Par', 'Number': 'Sing'}",obj,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
15,9,tarinaa,tarina,"{'Case': 'Par', 'Number': 'Sing'}",obj,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
16,12,aikana,aika,"{'Case': 'Ess', 'Number': 'Sing'}",obl,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
17,13,.,.,,punct,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
18,2,kertoo,kertoa,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
19,3,Lapin,Lappi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
20,5,Ruotsin,Ruotsi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
21,6,puolelle,puoli,"{'Case': 'All', 'Number': 'Sing'}",obl,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
22,7,pakoon,pakoon,,advmod,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
23,8,lähteneiden,lähteä,"{'Case': 'Gen', 'Degree': 'Pos', 'Number': 'Plur', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}",nmod:poss,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
24,10,yhden,yksi,"{'Case': 'Gen', 'Number': 'Sing', 'NumType': 'Card'}",nummod,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
25,11,vuoden,vuosi,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Kirja kertoo Lapin sotaa Ruotsin puolelle pakoon lähteneiden tarinaa yhden vuoden aikana.
26,1,Päähenkilönä,pää#henkilö,"{'Case': 'Ess', 'Number': 'Sing'}",root,"Päähenkilönä on nuori, noin 13-14vuotias tyttö, joka on liikkeellä lehmiensä ja toisten nuorten kanssa, ilman vanhempia."
27,2,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Päähenkilönä on nuori, noin 13-14vuotias tyttö, joka on liikkeellä lehmiensä ja toisten nuorten kanssa, ilman vanhempia."
28,7,tyttö,tyttö,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,"Päähenkilönä on nuori, noin 13-14vuotias tyttö, joka on liikkeellä lehmiensä ja toisten nuorten kanssa, ilman vanhempia."
29,20,.,.,,punct,"Päähenkilönä on nuori, noin 13-14vuotias tyttö, joka on liikkeellä lehmiensä ja toisten nuorten kanssa, ilman vanhempia."
