id,sent_id,form,lemma,case,deprel,sentence
0,1,Hakulisen,Hakulinen,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
1,2,ja,ja,,cc,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
2,3,Keevallikun,kee#vallikku,"{'Case': 'Gen', 'Number': 'Sing'}",conj,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
3,4,artikkelissa,artikkeli,"{'Case': 'Ine', 'Number': 'Sing'}",obl,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
4,7,küll,küllo,"{'Case': 'Nom', 'Number': 'Sing'}",obj,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
5,17,.,.,,punct,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
6,5,tutkittiin,tutkia,"{'Mood': 'Ind', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Pass'}",root,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
7,6,sanojen,sana,"{'Case': 'Gen', 'Number': 'Plur'}",nmod:poss,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
8,10,käyttöä,käyttö,"{'Case': 'Par', 'Number': 'Sing'}",conj,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
9,8,ja,ja,,cc,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
10,9,kyllä,kyllä,,advmod,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
11,16,lausumissä,lausuma,"{'Case': 'Ine', 'Number': 'Plur'}",nmod,Hakulisen ja Keevallikun artikkelissa tutkittiin sanojen küll ja kyllä käyttöä viron ja suomen kielen kielteisissä lausumissä.
