id,sent_id,form,lemma,case,deprel,sentence
0,1,Puhuttelu,puhuttelu,"{'Case': 'Nom', 'Derivation': 'U', 'Number': 'Sing'}",nsubj,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
1,2,",",",",,punct,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
2,3,niin,niin,,mark,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
3,9,asiat,asia,"{'Case': 'Nom', 'Number': 'Plur'}",nsubj,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
4,11,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",aux,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
5,14,kuluessa,kulua,"{'Case': 'Ine', 'InfForm': '2', 'Number': 'Sing', 'VerbForm': 'Inf', 'Voice': 'Act'}",advcl,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
6,15,.,.,,punct,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
7,4,kun,kun,,fixed,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
8,10,",",",",,punct,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
9,5,monet,moni,"{'Case': 'Nom', 'Number': 'Plur', 'PronType': 'Ind'}",det,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
10,6,muutkin,muu,"{'Case': 'Nom', 'Clitic': 'Kin', 'Number': 'Plur', 'PronType': 'Ind'}",det,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
11,8,liittyvät,liittyä,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Plur', 'PartForm': 'Pres', 'VerbForm': 'Part', 'Voice': 'Act'}",acl,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
12,7,kieleen,kieli,"{'Case': 'Ill', 'Number': 'Sing'}",obl,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
13,12,muuttunut,muuttua,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}",root,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
14,13,ajan,aika,"{'Case': 'Gen', 'Number': 'Sing'}",nsubj,"Puhuttelu, niin kun monet muutkin kieleen liittyvät asiat, on muuttunut ajan kuluessa."
15,1,Sinuttelu,sinuttelu,"{'Case': 'Nom', 'Derivation': 'U', 'Number': 'Sing'}",nsubj:cop,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
16,2,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
17,4,käytetyin,käytetty,"{'Case': 'Nom', 'Degree': 'Sup', 'Number': 'Sing'}",acl,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
18,5,puhuttelun,puhuttelu,"{'Case': 'Gen', 'Derivation': 'U', 'Number': 'Sing'}",nmod:poss,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
19,7,Suomessa,Suomi,"{'Case': 'Ine', 'Number': 'Sing'}",nmod,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
20,8,.,.,,punct,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
21,3,ylivoimaisesti,yli#voimaisesti,{'Derivation': 'Sti'},advmod,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
22,6,muoto,muoto,"{'Case': 'Nom', 'Number': 'Sing'}",root,Sinuttelu on ylivoimaisesti käytetyin puhuttelun muoto Suomessa.
23,1,Toisaalta,toisaalta,,advmod,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
24,4,teitittelyä,teitittely,"{'Case': 'Par', 'Derivation': 'U', 'Number': 'Sing'}",obj,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
25,6,vielä,vielä,,advmod,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
26,7,runsaasti,runsaasti,{'Derivation': 'Sti'},advmod,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
27,11,.,.,,punct,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
28,2,",",",",,punct,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
29,3,myös,myös,,advmod,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
30,5,käytetään,käyttää,"{'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass'}",root,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
31,8,",",",",,punct,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
32,9,varsinkin,varsinkin,,advmod,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
33,10,asiakaspalvelutilanteissa,asiakas#palvelu#tilanne,"{'Case': 'Ine', 'Number': 'Plur'}",appos,"Toisaalta, myös teitittelyä käytetään vielä runsaasti, varsinkin asiakaspalvelutilanteissa."
34,1,Aikaisemmin,aikaisemmin,,advmod,"Aikaisemmin oli olemassa tiettyjä sääntöjä, milloin käytettään sinuttelua ja milloin teitittelyä , nyt raja ei ole niin tarkka."
