id,sent_id,form,lemma,case,deprel,sentence
0,1,Vuonna,vuosi,"{'Case': 'Ess', 'Number': 'Sing'}",obl,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
1,4,John,John,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
2,10,ajatuskokeen,ajatus#koe,"{'Case': 'Gen', 'Number': 'Sing'}",obj,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
3,11,.,.,,punct,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
4,2,1980,1980,{'NumType': 'Card'},nummod,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
5,3,kielifilosofi,kieli#filosofi,"{'Case': 'Nom', 'Number': 'Sing'}",compound:nn,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
6,5,Searle,Searle,"{'Case': 'Nom', 'Number': 'Sing'}",flat:name,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
7,6,esitteli,esitellä,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",root,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
8,7,kiinalainen,kiina#lainen,"{'Case': 'Nom', 'Degree': 'Pos', 'Derivation': 'Lainen', 'Number': 'Sing'}",amod,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
9,8,huone,huone,"{'Case': 'Nom', 'Number': 'Sing'}",compound:nn,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
10,9,-nimisen,niminen,"{'Case': 'Gen', 'Degree': 'Pos', 'Derivation': 'Inen', 'Number': 'Sing'}",amod,Vuonna 1980 kielifilosofi John Searle esitteli kiinalainen huone -nimisen ajatuskokeen.
11,1,Ajatuskokeessa,ajatus#koe,"{'Case': 'Ine', 'Number': 'Sing'}",obl,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
12,4,huone,huone,"{'Case': 'Nom', 'Number': 'Sing'}",obj,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
13,10,.,.,,punct,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
14,2,kuvitellaan,kuvitella,"{'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass'}",root,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
15,3,suljettu,sulkea,"{'Case': 'Nom', 'Degree': 'Pos', 'Number': 'Sing', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",acl,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
16,6,johon,joka,"{'Case': 'Ill', 'Number': 'Sing', 'PronType': 'Rel'}",acl:relcl,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
17,5,",",",",,punct,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
18,7,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
19,9,luukkua,luukku,"{'Case': 'Par', 'Number': 'Sing'}",nsubj:cop,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
20,8,kaksi,kaksi,"{'Case': 'Nom', 'Number': 'Sing', 'NumType': 'Card'}",nummod,"Ajatuskokeessa kuvitellaan suljettu huone, johon on kaksi luukkua."
21,1,Huoneessa,huone,"{'Case': 'Ine', 'Number': 'Sing'}",root,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
22,2,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
23,3,henkilö,henkilö,"{'Case': 'Nom', 'Number': 'Sing'}",nsubj:cop,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
24,27,.,.,,punct,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
25,4,",",",",,punct,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
26,5,jonka,joka,"{'Case': 'Gen', 'Number': 'Sing', 'PronType': 'Rel'}",nmod:poss,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
27,7,on,olla,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",cop,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
28,8,ottaa,ottaa,"{'InfForm': '1', 'Number': 'Sing', 'VerbForm': 'Inf', 'Voice': 'Act'}",csubj:cop,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
29,17,kirjoittaa,kirjoittaa,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",conj,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
30,6,tehtävänä,tehtävä,"{'Case': 'Ess', 'Number': 'Sing'}",acl:relcl,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
31,9,toisesta,toinen,"{'Case': 'Ela', 'Derivation': 'Inen', 'Number': 'Sing', 'NumType': 'Ord'}",det,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
32,11,vastaan,vastaan,{'AdpType': 'Post'},case,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
33,10,luukusta,luukku,"{'Case': 'Ela', 'Number': 'Sing'}",obl,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
34,15,viestejä,viesti,"{'Case': 'Par', 'Number': 'Plur'}",obj,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
35,12,paperille,paperi,"{'Case': 'All', 'Number': 'Sing'}",obl,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
36,13,kirjoitettuja,kirjoittaa,"{'Case': 'Par', 'Degree': 'Pos', 'Number': 'Plur', 'PartForm': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",acl,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
37,14,kiinankielisiä,kiinan#kielinen,"{'Case': 'Par', 'Degree': 'Pos', 'Derivation': 'Inen', 'Number': 'Plur'}",amod,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
38,16,",",",",,punct,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
39,18,niihin,se,"{'Case': 'Ill', 'Number': 'Plur', 'PronType': 'Dem'}",obl,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
40,19,vastaus,vastaus,"{'Case': 'Nom', 'Number': 'Sing'}",obj,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
41,21,työntää,työntää,"{'InfForm': '1', 'Number': 'Sing', 'VerbForm': 'Inf', 'Voice': 'Act'}",conj,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
42,20,ja,ja,,cc,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
43,22,vastaus,vastaus,"{'Case': 'Nom', 'Number': 'Sing'}",obj,"Huoneessa on henkilö, jonka tehtävänä on ottaa toisesta luukusta vastaan paperille kirjoitettuja kiinankielisiä viestejä, kirjoittaa niihin vastaus ja työntää vastaus paperilapulla toisesta luukusta ulos."
