id,sent_id,form,lemma,case,deprel,sentence
0,1,Tutkijoiden,tutkija,"{'Case': 'Gen', 'Derivation': 'Ja', 'Number': 'Plur'}",nmod:poss,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
1,13,artikkelissa,artikkeli,"{'Case': 'Ine', 'Number': 'Sing'}",nmod,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
2,2,Marja-Kristiina,Marja#Kristii,"{'Case': 'Ess', 'Number': 'Sing'}",root,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
3,3,Lerkkasen,Lerkkanen,"{'Case': 'Gen', 'Number': 'Sing'}",nmod:poss,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
4,4,",",",",,punct,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
5,6,Ahosen,Ahonen,"{'Case': 'Gen', 'Number': 'Sing'}",flat:name,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
6,8,Ritva,Ritva,"{'Case': 'Nom', 'Number': 'Sing'}",conj,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
7,5,Timo,Timo,"{'Case': 'Nom', 'Number': 'Sing'}",conj,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
8,11,Ulla,Ulla,"{'Case': 'Nom', 'Number': 'Sing'}",conj,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
9,7,",",",",,punct,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
10,9,Ketosen,Ketonen,"{'Case': 'Gen', 'Number': 'Sing'}",flat:name,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
11,10,ja,ja,,cc,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
12,12,Leppäsen,Leppänen,"{'Case': 'Gen', 'Number': 'Sing'}",flat:name,"Tutkijoiden Marja-Kristiina Lerkkasen, Timo Ahosen, Ritva Ketosen ja Ulla Leppäsen artikkelissa"
13,1,Kirjoittamisen,kirjoittaminen,"{'Case': 'Gen', 'Derivation': 'Minen', 'Number': 'Sing'}",nmod:poss,Kirjoittamisen vaikeudet käsitellään pääasiallisesti lapsien kirjoittamisen osataidojen kehitystä ja niihin liittyviä ongelmia.
14,2,vaikeudet,vaikeus,"{'Case': 'Nom', 'Derivation': 'Vs', 'Number': 'Plur'}",obj,Kirjoittamisen vaikeudet käsitellään pääasiallisesti lapsien kirjoittamisen osataidojen kehitystä ja niihin liittyviä ongelmia.
15,8,kehitystä,kehitys,"{'Case': 'Par', 'Number': 'Sing'}",obj,Kirjoittamisen vaikeudet käsitellään pääasiallisesti lapsien kirjoittamisen osataidojen kehitystä ja niihin liittyviä ongelmia.
16,13,.,.,,punct,Kirjoittamisen vaikeudet käsitellään pääasiallisesti lapsien kirjoittamisen osataidojen kehitystä ja niihin liittyviä ongelmia.
17,3,käsitellään,käsitellä,"{'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass'}",root,Kirjoittamisen vaikeudet käsitellään pääasiallisesti lapsien kirjoittamisen osataidojen kehitystä ja niihin liittyviä ongelmia.
